,gender,race,age,education,church_goer,patriotism,health_insurance,discuss_politics,political_interest,ideology,pid3,pid7,voted,votechoice,obama_muslim,climate_change,cc_caused_by_man,same_sex_wedding,econ_health,birthright_citizenship,build_wall,affirmative_action,corrupt_government,bathroom_policy,gay_marriage,death_penalty,rel_important,rel_daily_guidance,rel_bible_word,rel_attend_church,happy_life
2184,2,6,56,9,2,-6,2,-6,-6,99,5,4,-2,-2,-6,1,1,1,3,2,3,2,2,1,2,1,2,-1,1,-1,3
2185,2,1,69,9,1,1,1,1,3,6,2,7,1,2,1,2,3,1,4,1,1,2,2,1,3,1,1,3,1,2,3
2186,1,3,45,14,2,6,1,1,4,6,2,6,-2,-2,2,1,1,2,4,3,2,2,4,2,1,1,1,1,2,-1,2
2187,1,1,69,9,2,-6,1,-6,-6,99,1,1,-2,-2,-6,1,1,2,5,2,2,2,3,1,1,2,2,-1,2,-1,3
2188,2,1,87,16,-9,1,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,3,3,2,1,2,-9,-1,3,-1,2
2189,2,1,48,10,2,3,1,2,4,99,3,4,-2,-2,2,1,1,2,4,1,3,2,2,2,1,1,2,-1,3,-1,3
2190,2,1,74,9,2,3,1,1,2,3,1,2,1,1,2,1,1,1,4,3,1,1,2,1,2,1,2,-1,3,-1,4
2191,2,1,35,10,2,2,1,1,2,6,2,7,1,2,2,1,3,1,4,1,1,2,2,1,1,1,2,-1,2,-1,2
2192,2,1,56,9,1,4,1,1,2,4,1,1,0,-2,2,1,2,2,2,3,3,3,4,2,1,1,1,2,2,-1,3
2193,1,3,50,16,1,4,1,1,4,3,3,5,1,1,2,2,2,1,5,1,1,2,4,1,2,1,2,-1,3,-1,5
2194,2,5,21,10,1,-6,1,-6,-6,4,3,4,-2,-2,-6,2,3,2,3,3,3,3,3,2,1,1,1,2,2,-1,3
2195,1,3,66,11,1,-6,1,-6,-6,6,2,7,-2,-2,-6,2,2,1,4,3,1,2,3,1,2,1,1,3,1,1,-5
2196,1,1,28,9,2,-6,1,-6,-6,99,1,2,-2,-2,-6,2,3,2,4,1,3,3,1,1,1,1,2,-1,3,-1,5
2197,2,1,67,10,1,1,1,1,2,6,2,6,1,2,1,2,3,1,5,2,1,2,2,1,2,1,1,3,1,-1,2
2198,1,6,39,9,2,4,1,1,2,99,5,4,1,5,1,1,3,2,5,2,2,3,1,2,1,1,2,-1,3,-1,5
2199,1,5,36,13,2,3,1,1,2,3,3,3,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,-1,2
2200,2,1,56,13,1,1,1,2,2,4,3,4,1,2,2,1,3,1,5,2,1,2,2,2,1,1,1,3,2,-1,4
2201,2,1,21,10,2,-6,1,-6,-6,3,1,2,-2,-2,-6,1,3,2,4,3,2,2,2,2,1,2,2,-1,2,-1,3
2202,1,1,-9,11,1,2,1,1,2,5,2,6,1,-9,2,1,3,1,4,2,1,1,3,2,1,1,1,2,-9,-1,2
2203,1,1,42,11,2,-6,1,-6,-6,99,1,2,-2,-2,-6,1,1,2,5,1,3,3,2,2,2,1,1,1,2,-1,5
2204,2,-2,46,9,1,-6,1,-6,-6,6,1,2,-2,-2,-6,1,1,2,3,3,3,2,3,1,1,2,1,3,1,2,3
2205,1,1,19,10,1,1,1,1,2,6,2,6,-2,-2,2,2,2,1,3,3,1,2,4,2,1,1,1,2,1,-1,2
